"Specie ID","Average Fitness","Stagnation"
"Specie 0","7.389401322351482","847"
"Specie 1","5.661069694523693","2"
"Specie 0","8.745843688476501","448"
"Specie 1","6.3673491866903555","397"
"Specie 2","6.669185757316765","0"
"Specie 3","3.9915202576390696","0"
"Specie 4","4.095478855795167","0"
"Specie 5","7.175571112727026","0"
"Specie 0","8.926885839666742","250"
"Specie 1","7.370218014997878","31"
"Specie 2","6.984667157789222","147"
"Specie 3","4.268681417305335","246"
"Specie 4","4.719688266684817","31"
"Specie 5","7.554979686506872","141"
"Specie 6","4.189896261734915","1"
"Specie 0","8.945864380315314","280"
"Specie 1","7.901551612995888","29"
"Specie 2","8.418838343977455","62"
"Specie 3","5.095164090480657","92"
"Specie 4","8.967233315617728","46"
"Specie 5","7.900614309570665","43"
"Specie 6","4.412456821037742","52"
"Specie 7","6.956108174135794","0"
"Specie 8","4.000623564444282","6"
"Specie 9","6.904656852604824","67"
"Specie 10","4.911515342538861","164"
"Specie 11","4.011404690356333","0"
"Specie 12","5.084876142643045","0"
"Specie 0","8.967405491195388","107"
"Specie 1","8.207585808148037","16"
"Specie 2","8.728005153213442","23"
"Specie 3","8.967810856934506","336"
"Specie 4","8.980628392259302","22"
"Specie 5","8.211550713173082","55"
"Specie 6","5.8705893685039054","20"
"Specie 7","7.6614220188580395","69"
"Specie 8","8.687842778581933","59"
"Specie 9","7.02825822705203","44"
"Specie 10","7.959556014161755","15"
"Specie 11","4.016924202342352","20"
"Specie 12","5.793113426794924","14"
"Specie 13","7.008261091597753","28"
"Specie 14","3.9999553283057168","0"
"Specie 15","8.21837453372128","16"
"Specie 0","8.977440848852963","105"
"Specie 1","8.623411431206708","11"
"Specie 2","8.987135017519922","70"
"Specie 3","8.945192926165248","105"
"Specie 4","8.979721465997166","111"
"Specie 5","8.414833417701798","87"
"Specie 6","7.276294983217329","12"
"Specie 7","8.039403807345355","57"
"Specie 8","8.878476741216945","13"
"Specie 9","7.216071066428804","92"
"Specie 10","8.392538200674103","32"
"Specie 11","7.244245508511042","15"
"Specie 12","7.146037175038268","94"
"Specie 13","7.155901292125194","11"
"Specie 14","3.999993471080868","9"
"Specie 15","8.414769983690357","14"
"Specie 16","4.000000006277986","0"
"Specie 17","3.997117516981063","0"
"Specie 18","4.002064519099234","0"
"Specie 19","4.496471122942472","1"
"Specie 0","8.981530833976182","99"
"Specie 1","8.744891386068637","11"
"Specie 2","8.989026769328039","108"
"Specie 3","8.971264545954421","28"
"Specie 4","8.978968471664686","92"
"Specie 5","8.463643394265873","5"
"Specie 6","7.809980688876812","163"
"Specie 7","8.566657883606903","45"
"Specie 8","8.980839124852974","7"
"Specie 9","7.200730488083626","8"
"Specie 10","8.469455886917885","11"
"Specie 11","7.458962052802466","11"
"Specie 12","7.6512676784013","6"
"Specie 13","7.338950669043473","30"
"Specie 14","4.000002144443408","12"
"Specie 15","8.57960760475261","13"
"Specie 16","4.000000012007804","30"
"Specie 17","5.204549762999127","16"
"Specie 18","4.003052138779809","54"
"Specie 19","5.491118741026975","11"
"Specie 20","3.576786186637682","0"
"Specie 21","5.126120519285349","23"
"Specie 22","8.601619935976707","50"
"Specie 23","7.790967681240503","5"
"Specie 0","8.98835424285854","169"
"Specie 1","8.761504156534425","80"
"Specie 2","8.990717480130979","9"
"Specie 3","8.816193444466382","111"
"Specie 4","8.981254612955917","11"
"Specie 5","8.666310298900592","75"
"Specie 6","8.677439666234037","16"
"Specie 7","8.670232698335592","35"
"Specie 8","8.980969838895824","50"
"Specie 9","7.6509739525728975","20"
"Specie 10","8.566734416788512","11"
"Specie 11","7.531342806663582","6"
"Specie 12","8.049983183370195","9"
"Specie 13","7.649465706979516","5"
"Specie 14","5.636069096005447","65"
"Specie 15","8.661232784941612","7"
"Specie 16","4.000000023165424","40"
"Specie 17","8.815269042203578","7"
"Specie 18","4.111781200665681","38"
"Specie 19","6.374701221809303","7"
"Specie 20","5.823408480113487","9"
"Specie 21","6.936223099425805","4"
"Specie 22","8.648905719491175","10"
"Specie 23","7.8754694074880645","36"
"Specie 24","7.787606737265866","0"
"Specie 25","4.881393426558409","1"
"Specie 26","5.783651089601045","0"
"Specie 27","3.938673536925433","0"
"Specie 28","5.363319585717626","0"
"Specie 29","4.85944083363737","0"
"Specie 30","2.740579454424127","0"
"Specie 0","8.990338221602558","91"
"Specie 1","8.918231074354052","33"
"Specie 2","8.99238645989702","7"
"Specie 3","8.750715073311534","107"
"Specie 4","8.981957167141447","8"
"Specie 5","8.751739141242941","45"
"Specie 6","8.847280184184395","85"
"Specie 7","8.724670889092776","62"
"Specie 8","8.413202516050813","56"
"Specie 9","8.112860120460201","9"
"Specie 10","8.617886760906877","7"
"Specie 11","7.647771525785399","7"
"Specie 12","8.842141562856085","45"
"Specie 13","8.051818410689764","14"
"Specie 14","8.826767747071347","10"
"Specie 15","8.73091094216439","5"
"Specie 16","4.000000106592621","19"
"Specie 17","8.885357353639753","5"
"Specie 18","4.367923736039062","23"
"Specie 19","7.796211090063745","35"
"Specie 20","7.7356502234525895","7"
"Specie 21","7.461408277890468","16"
"Specie 22","8.750107459357489","28"
"Specie 23","8.012252472213977","26"
"Specie 24","8.572781439229791","10"
"Specie 25","4.881393426558409","5"
"Specie 26","6.35330425406416","6"
"Specie 27","5.372035899146455","7"
"Specie 28","5.731500710661233","15"
